name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
Abiotrophia,15.595550239548617,16,40,9.000466236067915,0.33333333333333326,0.5771175814780625
Acetanaerobacterium,5.213162291769263,0,0,0.0,0.0,0.0
Acetitomaculum,19.366800309364535,11,25,6.948748123067186,0.13636363636363638,0.3587969107993136
Acetivibrio,2.7210799862917887,0,0,0.0,0.0,0.0
Acidaminococcus,25.67498178827762,29,68,19.871013406473907,0.10871959155070622,0.7739445959625326
Acinetobacter,15.291191903451521,20,74,13.246009054780709,1.0,0.8662509200339592
Actinobacillus,21.817572761222486,10,30,5.869231873311799,0.05555555555555558,0.2690139704148709
Actinobaculum,9.279623848567352,12,28,7.693816949782312,0.25,0.8291087090744668
Actinomyces,11.157663293415908,9,22,5.489351317230916,0.026659959758551274,0.49198037016139035
Aerococcus,5.935869318843679,9,20,5.4892536069187985,0.5,0.9247598476423531
Aeromonas,1.2526250552243061,0,0,0.0,0.0,0.0
Akkermansia,37.40929835401494,29,73,20.61481468530554,0.12213991769547333,0.5510612492707461
Alistipes,47.64672250077156,32,101,18.952990891252735,0.13618100993150395,0.397781628966102
Allisonella,23.314325803808256,15,35,9.360601380638583,0.08429858429858422,0.40149569236566063
Allobaculum,19.431603626273642,4,23,2.087489575170744,0.0009300162752848183,0.10742755025880783
Alloscardovia,12.783474538690047,10,36,5.991330904111363,0.1401869158878505,0.4686778141559399
Anaerobiospirillum,14.951958434016575,20,48,12.887144782448567,0.4,0.8619034649755021
Anaerococcus,5.8849375875092385,9,20,5.489351317230916,0.016438356164383522,0.9327798698973541
Anaerofilum,0.0,0,0,0.0,0.0,
Anaerofustis,26.24915706734229,8,50,4.60029111800736,0.12811387900355903,0.17525481318144043
Anaeroglobus,0.8932531372524539,0,0,0.0,0.0,0.0
Anaerophaga,21.76374753022632,20,49,13.270236295001956,0.36363636363636354,0.6097404078305791
Anaerorhabdus,15.246290347767742,0,0,0.0,0.0,0.0
Anaerosporobacter,19.612866777739846,0,0,0.0,0.0,0.0
Anaerostipes,34.71162889519862,29,95,21.371682249489833,0.13494290319554472,0.6156922890024906
Anaerotruncus,9.55106955625144,0,0,0.0,0.0,0.0
Anoxybacillus,8.218099859890042,11,25,6.948748123067186,1.0,0.845541942971737
Aquabacterium,28.656460343107298,0,0,0.0,0.0,0.0
Arcanobacterium,1.2544389401680254,0,0,0.0,0.0,0.0
Arcobacter,4.300058682570538,0,0,0.0,0.0,0.0
Atopobium,6.001483889536371,0,0,0.0,0.0,0.0
Bacillus,0.21237489777718,0,0,0.0,0.0,0.0
Bacteroides,62.28479881502787,63,174,48.22400456272873,0.2600887689081562,0.7742499852322459
Barnesiella,47.632098106926215,35,115,21.95973877528793,0.16593711011017354,0.4610281647890449
Bifidobacterium,17.852247055149178,0,0,0.0,0.0,0.0
Bilophila,20.147589487645604,10,36,5.869231873311797,0.05638531897649655,0.29131186521895236
Blautia,53.37923116455133,46,172,30.83498680698744,0.18114449715925723,0.5776588784490527
Brachyspira,0.0,0,0,0.0,0.0,
Bradyrhizobium,0.0,0,0,0.0,0.0,
Brevibacillus,2.9362969412928024,0,0,0.0,0.0,0.0
Brevibacterium,2.101569325511467,0,0,0.0,0.0,0.0
Brochothrix,7.297528161676922,10,34,6.213563158817384,0.25000000000000006,0.8514613470692725
Bulleidia,19.609165324857326,18,76,11.27836004750801,0.4,0.5751575786456923
Buttiauxella,9.725594277104781,13,27,8.447943981050743,1.0,0.8686301053024821
Butyricicoccus,27.46174604876922,10,59,5.716717626256472,0.1107405642898742,0.20817021671179145
Butyricimonas,28.688174864740066,11,59,5.805050306880361,0.08144769577064367,0.20234993457235254
Butyrivibrio,10.012535231822003,12,26,7.6939472301984715,0.25,0.7684314763503096
Campylobacter,16.337936085509288,20,75,12.832448762242603,0.26936026936026897,0.7854387907432304
Capnocytophaga,8.578190212731124,7,36,4.078494721124099,0.13333333333333333,0.47544932205759377
Cardiobacterium,9.822695715632024,10,47,6.213671725830849,0.6666666666666666,0.632583142725504
Carnobacterium,13.376642495438567,13,55,8.22437977578935,0.2222222222222222,0.6148313957402886
Catenibacterium,18.547447128454298,17,45,11.021716705036642,0.09433516915814344,0.5942444061817993
Catonella,2.798754396876757,0,0,0.0,0.0,0.0
Cellulosilyticum,15.606900692292621,19,67,12.668675075720339,0.25882352941176473,0.8117354832645723
Centipeda,0.0,0,0,0.0,0.0,
Cerasicoccus,11.272041058112773,14,29,9.210582988397475,0.22025652366209672,0.8171175868604901
Cetobacterium,20.803891404112033,19,69,12.163432992919258,0.41666666666666663,0.5846710481537638
Cloacibacillus,32.91757058964808,35,106,24.205558350515897,0.14623955431754893,0.7353385416033121
Cloacibacterium,0.05297922981750393,0,0,0.0,0.0,0.0
Clostridium_III,20.62480435748175,16,70,9.370868818216556,0.22222222222222224,0.4543494646443629
Clostridium_IV,45.13134146817814,43,125,29.682233033942445,0.21157195381539035,0.657685592059594
Clostridium_XI,27.3737815020965,22,77,14.637468919363727,0.12480515431778003,0.5347258623454225
Clostridium_XVIII,34.828970011882205,36,103,26.8036017142981,0.09351796106763033,0.7695777884087247
Clostridium_XlVa,25.63327211973303,7,20,4.078418724214674,0.030779501164706576,0.15910644201662502
Clostridium_XlVb,39.10007644589004,37,126,23.16647069085999,0.18137225216496206,0.5924916981407873
Clostridium_sensu_stricto,31.264152075777105,18,72,11.650099264320314,0.13140182445590884,0.37263442283939624
Cobetia,0.0,0,0,0.0,0.0,
Collinsella,14.535737451560504,0,0,0.0,0.0,0.0
Comamonas,6.29307399907409,0,0,0.0,0.0,0.0
Coprobacillus,16.22529880355722,16,65,10.13678870504537,0.1382978723404255,0.6247520509651872
Coprococcus,61.22584360952249,60,165,42.855884136055984,0.23652766347546195,0.6999639630835659
Coriobacterium,0.0,0,0,0.0,0.0,
Corynebacterium,33.255646771892174,16,78,10.098547255173743,0.15254237288135616,0.303664136332753
Cronobacter,0.0,0,0,0.0,0.0,
Cryptobacterium,0.0,0,0,0.0,0.0,
Denitrobacterium,0.27266621771662286,0,0,0.0,0.0,0.0
Desulfovibrio,29.352652708976645,29,71,19.506582816784892,0.1274928774928775,0.6645594526050921
Dialister,22.680568191528955,23,50,14.53943563512094,0.07485290414157812,0.6410525306218442
Dorea,38.03685499214436,38,105,25.355676631469464,0.11424545562885143,0.6666081261635878
Dysgonomonas,0.0,0,0,0.0,0.0,
Eggerthella,6.139825703285408,10,25,5.781274053279834,0.06305170239596478,0.941602308056772
Elusimicrobium,0.25968873328901326,0,0,0.0,0.0,0.0
Enterobacter,0.0,0,0,0.0,0.0,
Enterococcus,16.079612615192374,13,27,8.447943981050743,0.10445559161994715,0.5253823075979417
Enterorhabdus,33.85261491887068,30,73,19.808807286562857,0.15347137637028072,0.5851485131661338
EscherichiaShigella,21.22198713906282,0,0,0.0,0.0,0.0
Eubacterium,22.77620244109838,23,61,15.488076027956952,0.13065976714100863,0.6800113437703551
Facklamia,10.703588217199211,10,34,5.781274053279833,1.0,0.540124856820455
Faecalibacterium,77.5348089642165,77,222,60.56762262169906,0.2928612578384853,0.7811668517768832
Filifactor,6.104345714824867,9,20,5.489351317230916,1.0,0.8992530196806531
Finegoldia,5.840915250687869,9,20,5.489351317230916,0.18497109826589606,0.9398101293430767
Flavonifractor,30.3065269305067,31,89,22.28550629907071,0.12505643340857883,0.7353368583002499
Fructobacillus,16.04657393257106,20,82,12.965701295003246,1.0,0.8080043347250399
Fusobacterium,10.750534644433573,5,20,2.730498170069665,0.009539273391516164,0.25398719788168544
Gallicola,0.0,0,0,0.0,0.0,
Gardnerella,18.116600080967807,18,65,11.258140009301929,0.6000000000000001,0.6214267555162871
Gemella,25.03783067962958,15,66,9.576674861381056,0.08938547486033518,0.3824882029085891
Gemmiger,31.888112165877924,28,116,17.726133162446086,0.14497885179725242,0.5558853114363429
Geobacillus,0.0,0,0,0.0,0.0,
Gordonibacter,27.957323201708746,24,86,15.896803342365848,0.11858407079645977,0.5686096350381011
Granulicatella,28.673819495912973,20,85,11.462503319475816,0.17857142857142852,0.39975502116520006
Haemophilus,14.062177747452457,11,32,6.7700108517738675,0.07142857142857145,0.4814340263193118
Hafnia,0.0,0,0,0.0,0.0,
Hallella,11.238802465137328,7,36,4.078418724214674,0.2352941176470588,0.3628873037733242
Helicobacter,7.243861418680693,10,22,6.035353240932732,0.032258064516129024,0.833167960028691
Herbaspirillum,6.281164259568745,0,0,0.0,0.0,0.0
Hespellia,16.659981032680395,14,45,8.986552890545758,0.16666666666666663,0.5394095511223956
Holdemania,24.497704473412657,22,68,14.551099456454692,0.10572139303482524,0.5939780795481059
Howardella,37.39037480251964,37,108,24.916352846366564,0.1821639898562975,0.666384142388632
Hydrogenoanaerobacterium,30.975653132002897,24,78,14.791249194765294,0.1632653061224491,0.47751210060792953
Kocuria,0.0,0,0,0.0,0.0,
Lachnobacterium,18.06792566115544,12,24,7.5147622773960485,0.18181818181818177,0.4159172678882652
Lachnospira,3.167501877932371,5,12,2.730552453576397,0.5,0.8620523550750984
Lactobacillus,16.15464998528542,11,54,6.725988514952499,0.053602134598280796,0.416349999602524
Lactococcus,27.795743702185064,19,77,10.902121506341295,0.11091703056768583,0.39222269506983054
Lactonifactor,21.93660499709214,0,0,0.0,0.0,0.0
Leptotrichia,15.906434843178134,12,50,7.5147622773960485,0.1702127659574468,0.47243536037359996
Leuconostoc,37.72235854797433,21,100,13.19449354496715,0.1322580645161292,0.34977912444649323
Mannheimia,3.018578733205653,0,0,0.0,0.0,0.0
Marvinbryantia,6.6485830899128535,9,32,5.147739495349907,0.14285714285714285,0.774261135904279
Megamonas,16.261754966080535,17,36,10.882114261264968,0.10747858784207247,0.669184493553331
Megasphaera,30.520651982147534,34,79,20.981397495257408,0.12057142857142886,0.68744919038853
Methanobacterium,0.0,0,0,0.0,0.0,
Methanobrevibacter,46.58915102237763,42,112,29.064590832112604,0.2454652485383026,0.6238489046119846
Methanocorpusculum,29.512535990345153,25,90,15.254053637832188,0.3333333333333333,0.5168669220029908
Methanosphaera,33.57810836156414,29,77,20.024366103711664,0.18194876705769775,0.596351822088732
Methylobacterium,0.0,0,0,0.0,0.0,
Mitsuokella,25.16537353991904,18,45,11.722762653873657,0.23615439942459882,0.4658290740361237
Mobiluncus,10.341011418896894,14,35,8.708566078679466,0.09090909090909091,0.8421387160220769
Mogibacterium,38.9160207570535,37,98,25.724352782028223,0.19471365638766544,0.6610221775402282
Morganella,7.16876625685593,0,0,0.0,0.0,0.0
Moryella,1.1744495707109284,0,0,0.0,0.0,0.0
Mucispirillum,9.240315817883781,11,28,6.770119418787333,0.25,0.7326718644923791
Murdochiella,12.294604197258614,12,42,7.3453526200454915,0.12499999999999999,0.5974452289959297
Mycoplasma,0.0,0,0,0.0,0.0,
Neisseria,9.894193303735559,4,10,2.08753300197613,0.07692307692307696,0.2109856698663832
Odoribacter,29.6500587589933,0,0,0.0,0.0,0.0
Olsenella,23.12376686602778,20,47,13.487795445578836,0.13434247871333976,0.5832871228862974
Oribacterium,9.142122930498434,9,23,5.311692990851548,0.08450704225352122,0.5810130788256587
Oscillibacter,36.88887695288681,20,87,10.62521868431814,0.11004561290090871,0.28803312982090234
Oxalobacter,0.0,0,0,0.0,0.0,
Pantoea,0.0,0,0,0.0,0.0,
Papillibacter,8.97157392234119,4,20,2.08753300197613,0.12280701754385964,0.23268302976111185
Parabacteroides,21.66903386237028,17,52,10.602774571964414,0.07854233469104777,0.489305367249291
Paracoccus,0.0,0,0,0.0,0.0,
Paraeggerthella,1.8021825451733138,0,0,0.0,0.0,0.0
Paraprevotella,26.46665076976539,20,55,12.3211872411011,0.08676585009313152,0.46553632147428375
Parasutterella,28.951668782243623,7,43,4.078418724214674,0.07299568360023469,0.1408699013134612
Parvimonas,3.2262745699947737,0,0,0.0,0.0,0.0
Pediococcus,3.812695125444579,0,0,0.0,0.0,0.0
Pelomonas,17.865829860727693,11,37,6.51410431918903,0.08823529411764712,0.36461246804483477
Peptococcus,46.70417297497864,53,134,35.71256596326697,0.2845927379784104,0.7646547125970878
Peptoniphilus,5.77527037113439,9,20,5.311692990851549,0.03921568627450976,0.9197306185698482
Peptostreptococcus,5.785453665420185,9,20,5.489351317230916,0.04563233376792685,0.948819510912501
Phascolarctobacterium,10.739791617896298,7,25,4.078418724214674,0.056484891511736315,0.3797484038161954
Phocaeicola,0.0,0,0,0.0,0.0,
Photobacterium,4.470646549638938,6,13,3.395368383684324,1.0,0.7594803896896173
Porphyromonas,12.284463484786746,5,34,2.730498170069665,0.0892857142857143,0.22227248047512638
Prevotella,35.794362243082546,41,71,29.84912471542816,0.2885545015727138,0.8339057562394946
Proteus,0.0,0,0,0.0,0.0,
Providencia,0.3255888952226552,0,0,0.0,0.0,0.0
Pseudobutyrivibrio,19.132552569649675,10,43,5.869231873311797,0.15748031496063006,0.30676679716130867
Pseudoflavonifractor,35.823171558612486,27,94,15.30158881344916,0.12592047128129555,0.4271422140391253
Pseudomonas,16.010261355718434,20,49,13.320313405976782,0.19685039370078738,0.8319860063508036
Pseudoramibacter,7.426747723789354,4,10,2.08753300197613,0.021739130434782605,0.28108306349081247
Psychrobacter,19.707451789725763,25,79,17.15640549724221,0.6000000000000001,0.8705542289433122
Pyramidobacter,14.736500635830364,16,47,10.35365970425305,0.12195121951219513,0.7025860453654198
Ralstonia,20.163244472221454,25,89,17.15640549724221,0.5,0.8508752408809152
Rhodococcus,0.0,0,0,0.0,0.0,
Rikenella,15.320732365845263,11,38,6.381744083057685,0.05172413793103446,0.4165430170482321
Robinsoniella,2.573987255654315,0,0,0.0,0.0,0.0
Roseburia,66.00240000020789,67,177,50.9899356907426,0.30342715571994355,0.772546690583706
Rothia,26.21988541007982,8,31,4.439113171269696,0.06547619047619056,0.16930330174376543
Ruminococcus,57.16952679453964,52,162,36.16001272614467,0.21307196075566867,0.6325050206572355
SR1_genera_incertae_sedis,14.768439330557305,11,44,6.725988514952499,0.1379310344827586,0.45542987748446717
Saccharofermentans,17.287533674538913,22,71,15.327797603119585,0.6666666666666666,0.8866387705548983
