name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
A06AD15_65_.osmotic_laxatives.,4.164470620358379,5,14,2.688316153048005,0.08333333333333333,0.6455361072559707
A07EC02_.mesalazine.,9.241675960672406,7,31,4.282920370140946,0.21428571428571427,0.4634354621788026
Age,50.50878319192357,45,127,29.70693437122786,0.12128629454229412,0.5881538317473869
Alanine_transaminase_.ALT.,19.666564535762543,12,35,6.062227597655993,0.04376726865014215,0.3082504616722546
Alcohol_.average_past_week.:nutrition.consumption.option.1,45.35712503718074,48,148,29.918286544046044,0.20810810810810812,0.6596160254760643
Alcohol_.average_past_week.:nutrition.consumption.option.2,18.674685883745198,4,19,2.0642213418441404,0.0353356890459364,0.11053579988945773
Alcohol_.average_past_week.:nutrition.consumption.option.3,33.488149002963254,23,93,11.723168811030733,0.22321428571428573,0.350069178502323
Alcohol_.average_past_week.:nutrition.consumption.option.4,21.025247766461675,0,0,0.0,0.0,0.0
Alcohol_.average_past_week.:nutrition.consumption.option.5,14.52782053221098,15,56,8.453553731531954,0.25,0.5818872633227259
Alcohol_.average_past_week.:nutrition.consumption.option.6,21.790350181751997,2,12,0.9706985079436747,0.08333333333333333,0.044547173397725924
Alcohol_.average_past_week.:nutrition.consumption.option.7,3.974279954433975,0,0,0.0,0.0,0.0
Alcohol_.average_past_week.:shortanswer.doesnot.apply,27.269506483337597,17,63,10.581574371834057,0.07633587786259542,0.3880368857536781
Alpha.2.globulin,32.28893709732145,10,60,5.316100333715761,0.05604937920441445,0.1646415401563888
Beer_consumption:alcoholicBeveragesConsumptionQuestions.alcohol.consumption.option.1,25.061511566518345,24,78,15.13281675536033,0.11494252873563218,0.6038269764852275
Beer_consumption:alcoholicBeveragesConsumptionQuestions.alcohol.consumption.option.2,20.10710204453865,13,57,6.96722872952551,0.08032128514056225,0.3465058621621657
Beer_consumption:alcoholicBeveragesConsumptionQuestions.alcohol.consumption.option.3,44.921792517086004,44,144,31.422000567312487,0.245,0.6994823404556069
Beer_consumption:alcoholicBeveragesConsumptionQuestions.alcohol.consumption.option.4,12.070764113334997,0,0,0.0,0.0,0.0
Beer_consumption:shortanswer.doesnot.apply,20.59453553899094,0,0,0.0,0.0,0.0
Beta.globulin,19.287950427615865,0,0,0.0,0.0,0.0
Bloating_.days_past_week.:stoolQuestions.intestinalComplication.option.1,19.620705412485997,3,13,1.578887233596682,0.01434878587196468,0.08047046221854633
Bloating_.days_past_week.:stoolQuestions.intestinalComplication.option.2,16.834823278788207,6,14,3.415670002687972,0.023952095808383235,0.20289313087068156
Bloating_.days_past_week.:stoolQuestions.intestinalComplication.option.3,34.84166524868586,32,133,20.850815322982,0.3793103448275862,0.5984448554383732
Bloating_.days_past_week.:stoolQuestions.intestinalComplication.option.4,0.0,0,0,0.0,0.0,
Bloating_.days_past_week.:stoolQuestions.intestinalComplication.option.5,9.236827709092598,13,24,8.473171785093111,1.0,0.9173248708268364
Bloating_.days_past_week.:stoolQuestions.intestinalComplication.option.7,14.186941428237844,19,61,13.023467961714202,1.0,0.9179898308307771
Blood_urea,21.381195595816923,6,21,3.2145866547062676,0.02086312502979167,0.1503464406515779
Body_mass_index,39.69378698682007,30,89,19.694226305319972,0.08548588104690845,0.49615387697473273
Bread_type_preference:generalNutritionQuestions.mostEatenBreadType.option.1,19.741555957008096,16,64,9.525736947821681,0.09836065573770492,0.48252209545013697
Bread_type_preference:generalNutritionQuestions.mostEatenBreadType.option.2,31.490483507004466,12,55,7.045159353397785,0.059734513274336286,0.22372344177664727
Bread_type_preference:generalNutritionQuestions.mostEatenBreadType.option.3,16.11225570223833,6,20,3.4156447598140085,0.13793103448275862,0.2119904762521553
Bread_type_preference:shortanswer.doesnot.apply,27.66531928708257,28,92,15.979187364084652,0.21568627450980393,0.577589117923017
Breakfast_.N_past_week.,24.43381033343964,2,13,0.9706985079436747,0.01276476364146444,0.03972767630987114
Bristol_stool_score,50.81576328479853,45,128,28.329386812291222,0.1369520781285487,0.5574921044385045
Childhood_residence_type:enkeleboerderijdieren,0.0,0,0,0.0,0.0,
Childhood_residence_type:nan,13.72294128592338,3,8,1.5788720878723033,0.1111111111111111,0.11505347541578913
Childhood_residence_type:youthQuestions.residencyDescYoungerThan5.option.1,21.050151951844093,11,50,5.875613772633871,0.10526315789473684,0.27912453012573807
Childhood_residence_type:youthQuestions.residencyDescYoungerThan5.option.2,25.530084930837017,0,0,0.0,0.0,0.0
Childhood_residence_type:youthQuestions.residencyDescYoungerThan5.option.3,22.97524192061543,9,33,5.569863887455149,0.04779411764705882,0.2424289549028588
Childhood_residence_type:youthQuestions.residencyDescYoungerThan5.option.4,19.77213582405254,7,16,4.119539229700542,0.021897810218978103,0.2083507450261988
Childhood_residence_type:youthQuestions.residencyDescYoungerThan5.option.5,30.032433372469434,24,87,15.553700526312664,0.19607843137254902,0.5178967795720029
Chocolate_type_preference:composedDishesChocolateAndWaterQuestions.chocolate.type.option.1,24.8547128965332,23,89,15.571981980770584,0.2413793103448276,0.6265202919701641
Chocolate_type_preference:composedDishesChocolateAndWaterQuestions.chocolate.type.option.2,33.30059581328567,21,99,13.138396726023506,0.11818181818181818,0.3945393890154298
Chocolate_type_preference:composedDishesChocolateAndWaterQuestions.chocolate.type.option.3,49.10921363257637,45,156,28.867303653496354,0.19283276450511946,0.5878184869640707
Chocolate_type_preference:shortanswer.doesnot.apply,9.34210662784968,0,0,0.0,0.0,0.0
Chronic_fatigue_syndrome,31.637310010408342,28,107,16.001661308723815,0.2033898305084746,0.5057845089692973
Cigarettes_.average.day_past_3_months.,14.982412891262292,2,9,0.9706985079436747,0.03005181347150259,0.0647891975070173
Coffee_.days_since_consumed.:nutrition.last.intake.option.1,20.125535497776962,5,17,2.7292575950336024,0.024752475247524754,0.13561167579044406
Coffee_.days_since_consumed.:nutrition.last.intake.option.2,25.612313611267208,18,41,9.919898966337279,0.04935064935064935,0.3873097572088677
Coffee_.days_since_consumed.:nutrition.last.intake.option.3,15.888474761395877,5,22,2.5127511147265613,0.10714285714285714,0.1581492970509527
Coffee_.days_since_consumed.:nutrition.last.intake.option.4,24.270424739550897,18,81,9.878379120964892,0.29411764705882354,0.4070130303433529
Coffee_.days_since_consumed.:nutrition.last.intake.option.5,16.844075019900416,6,23,3.0349198497878156,0.1,0.18017729357071924
Coffee_.days_since_consumed.:nutrition.last.intake.option.6,13.572013161270515,12,44,7.528969404362787,0.2857142857142857,0.5547422710911944
Coffee_.days_since_consumed.:nutrition.last.intake.option.7,10.51316742347973,11,51,6.8078873136444304,0.25,0.6475581563021569
Coffee_.days_since_consumed.:nutrition.last.intake.option.9,16.849033530664222,8,26,3.995452538979143,0.08,0.23713244630368033
Coffee_.days_since_consumed.:shortanswer.doesnot.apply,29.948475293457868,2,9,0.9707086050932606,0.023148148148148147,0.03241262186410232
Constipation_.days_past_week.:stoolQuestions.intestinalComplication.option.1,28.44678945668165,10,58,5.630011635127674,0.0678617157490397,0.19791378017195832
Constipation_.days_past_week.:stoolQuestions.intestinalComplication.option.2,14.624681058528932,2,23,0.9707086050932606,0.05,0.06637468545183456
Constipation_.days_past_week.:stoolQuestions.intestinalComplication.option.3,16.517908015570043,0,0,0.0,0.0,0.0
Constipation_.days_past_week.:stoolQuestions.intestinalComplication.option.4,14.348422010859213,19,61,13.16344767643138,1.0,0.9174143098431996
Constipation_.days_past_week.:stoolQuestions.intestinalComplication.option.6,0.0,0,0,0.0,0.0,
Creatine_kinase,21.606404710002924,15,45,9.220852875027537,0.055724039640714595,0.42676479492021374
Creatinine,27.457804074270257,12,57,6.94342226530111,0.05445475513597595,0.2528760947714514
Food_allergy,26.669826067201427,23,75,14.855139566261292,0.16071428571428573,0.5570017415497941
Fruits_.days_since_consumed.:nutrition.last.intake.option.1,25.479031212303425,8,51,4.260201559027217,0.08860759493670886,0.16720422073858257
Fruits_.days_since_consumed.:nutrition.last.intake.option.2,18.939025991780966,12,35,7.418174781548769,0.04974271012006861,0.39168723802206407
Fruits_.days_since_consumed.:nutrition.last.intake.option.3,24.070402361428577,11,41,6.490875453480423,0.09090909090909091,0.26966210851056127
Fruits_.days_since_consumed.:nutrition.last.intake.option.4,12.815226730086392,2,6,0.9706985079436747,0.037037037037037035,0.07574571471800491
Fruits_.days_since_consumed.:nutrition.last.intake.option.5,15.937815157079868,0,0,0.0,0.0,0.0
Fruits_.days_since_consumed.:nutrition.last.intake.option.6,23.572485418530515,18,64,10.99432382300286,0.25,0.4664049474545495
Fruits_.days_since_consumed.:nutrition.last.intake.option.7,12.412404743891603,12,29,7.4949439642231805,0.2857142857142857,0.6038269069425564
Fruits_.days_since_consumed.:nutrition.last.intake.option.8,1.1449572724663994,0,0,0.0,0.0,0.0
Fruits_.days_since_consumed.:nutrition.last.intake.option.9,25.450666073461477,25,79,15.62196620088867,0.16666666666666666,0.6138136485621638
Fruits_.days_since_consumed.:shortanswer.doesnot.apply,26.390012810396353,13,62,7.817236553806635,0.15151515151515152,0.2962195058399908
Fruits_.freq._past_week.:nutrition.frequency.option.1,25.080197531707704,10,38,5.408647135389202,0.07692307692307693,0.21565408839189987
Fruits_.freq._past_week.:nutrition.frequency.option.2,21.92852126745581,23,55,15.734722622952459,0.12121212121212122,0.7175459955115355
Fruits_.freq._past_week.:nutrition.frequency.option.3,25.10719311046839,24,68,14.532773809892852,0.12807881773399016,0.5788290927604107
